id;title;like;vote_average
863;Toy Story 2: Los juguetes vuelven a la carga;1;7.3
864;Elegidos para el triunfo;;6.8
865;Perseguido;;6.4
866;Descubriendo Nunca Jamás;;7.2
868;Tsotsi;;6.9
869;El planeta de los simios;1;5.6
872;Cantando bajo la lluvia;;
873;El color púrpura;;7.7
874;Un hombre para la eternidad;;7.5
879;Hook (El capitán Garfio);;6.6
881;Algunos hombres buenos;;7.1
887;Los mejores años de nuestra vida;;7.6
888;Los Picapiedra;0;5.0
889;Los Picapiedra en Viva Rock Vegas;;4.4
905;La caja de Pandora (Lulú);;7.6
907;Doctor Zhivago;;7.4
913;El secreto de Thomas Crown;;6.6
920;Cars;1;6.6
921;Cinderella Man: El hombre que no se dejó tumbar;;7.3
924;Amanecer de los muertos;;6.8
925;Haz lo que debas;;7.6
926;Héroes fuera de órbita;;6.9
927;Gremlins;;6.9
928;Gremlins 2: La nueva generación;0;6.2
935;¿Teléfono rojo? Volamos hacia Moscú;;8.0
943;Arma letal 3;0;6.4
944;Arma letal 4;0;6.3
947;Lawrence de Arabia;;7.8
948;La noche de Halloween;;7.4
950;Ice Age 2: El deshielo;1;
951;Poli de guardería;;5.8
953;Madagascar;1;6.6
954;Mission: Impossible;1;6.7
955;Misión: Imposible 2;1;5.9
956;Misión: Imposible 3;1;6.5
957;La loca historia de las galaxias;;6.7
978;Siete años en el Tíbet;;
979;Irreversible;;7.1
985;Eraserhead (Cabeza borradora);;7.5
987;Primera plana;;
990;El buscavidas;;7.6
1018;Mulholland Drive;;7.6
1024;Criaturas celestiales;;7.0
1051;The French Connection, contra el imperio de la droga;;7.4
1073;Arlington Road, temerás a tu vecino;;7.0
1088;Whale Rider;;7.1
1090;Nivel 13;;6.8
1091;La cosa (El enigma de otro mundo);;7.8
1103;1997: Rescate en Nueva York;;6.9
1116;El viento que agita la cebada;;7.1
1123;Atrapa el  fuego;;6.4
1124;El truco final (El prestigio);1;8.0
1125;Dreamgirls;;6.6
1164;Babel;;6.9
1165;The Queen (La Reina);;6.8
1213;El talento de Mr. Ripley;;7.0
1245;Lo que queda del día;;7.5
1246;Rocky Balboa;1;
1248;Hannibal, el origen del mal;1;
1250;Ghost Rider: El motorista fantasma;0;5.2
1251;Cartas desde Iwo Jima;;7.2
1255;The Host;1;6.7
1257;¡Porque lo digo yo!;0;5.8
1259;Diario de un escándalo;;6.9
1262;Más extraño que la ficción;;7.1
1265;Un puente hacia Terabithia;;
1266;Dueños de la calle;;6.3
1268;Las vacaciones de Mr. Bean;0;6.1
1271;300;1;7.0
1272;Sunshine;;7.0
1273;TMNT: Tortugas ninja jóvenes mutantes;0;6.0
1282;Dogtown and Z-Boys;;7.2
1359;American Psycho;;7.3
1360;Frida;;
1365;Monster's Ball;;6.5
1366;Rocky;;7.5
1368;Acorralado;;7.2
1369;Rambo: Acorralado - Parte II;0;6.3
1370;Rambo III;0;5.7
1372;Diamante de sangre;;7.3
1378;Shortbus;;
1381;La fuente de la vida;;6.8
1382;Tú, yo y todos los demás;;7.0
1389;;;6.5
1391;Y tu mamá también;;7.3
1402;En busca de la felicidad;1;7.7
1408;La Isla de las Cabezas Cortadas;;5.7
1412;Sexo, mentiras y cintas de vídeo;;6.7
1415;Party Monster;;5.9
1417;El laberinto del fauno;1;7.6
1422;Infiltrados;1;7.9
1424;Noviembre;;4.9
1427;El perfume. Historia de un asesino;1;
1428;El mexicano;;6.2
1429;La última noche;;7.2
1430;Bowling for Columbine;;7.3
1435;Tarnation;;7.5
1439;Ana y el rey;;6.4
1440;Juegos secretos;;6.9
1443;Las vírgenes suicidas;;7.1
1452;Superman Returns: El regreso;0;5.4
1487;Hellboy;0;6.5
1491;El ilusionista;;7.1
1493;Miss Agente Especial;0;6.1
1494;La maldición de la flor dorada;;6.6
1495;El reino de los cielos;1;6.6
1497;Las tortugas ninja II: El secreto de los mocos verdes;0;5.8
1499;Las tortugas ninja III;0;5.1
1523;El último rey de Escocia;;7.4
1535;Spy Game (Juego de espías);;6.8
1537;Al límite de la verdad;;5.9
1538;Collateral;;7.0
1542;Trabajo basura;;7.4
1544;Rosas rojas;;7.0
1546;Thumbsucker;;6.1
1547;Jóvenes ocultos;;6.8
1548;Ghost World;;7.1
1550;Retrato de April;;6.4
1551;Línea mortal;;6.3
1555;Una casa de locos;;7.0
1562;28 semanas después;;6.5
1571;La jungla 4.0;0;6.4
1572;Jungla de cristal: La venganza;0;6.9
1573;La jungla 2: Alerta roja;0;6.6
1574;Chicago;;6.9
1576;Resident Evil;1;6.4
1577;Resident Evil 2: Apocalipsis;1;6.1
1578;Toro salvaje;;
1579;Apocalypto;;7.3
1581;The Holiday (Vacaciones);;6.7
1584;Escuela de Rock;1;
1585;¡Qué bello es vivir!;;8.0
1586;La ventana secreta;;6.4
1587;¿A quién ama Gilbert Grape?;;7.5
1588;A por todas;;5.8
1590;;;6.2
1591;En un lugar de África;;7.0
1593;Noche en el museo;0;6.3
1597;Los padres de ella;0;6.6
1598;El cabo del miedo;;7.0
1599;Extrañas coincidencias;;6.2
1613;Negocios sucios;;5.9
1619;Secuestro infernal;;6.4
1620;Hitman;;5.9
1621;Entre pillos anda el juego;;7.1
1624;Mentiroso compulsivo;0;6.4
1635;La isla;;6.5
1636;Al diablo con el diablo;;5.6
1637;Speed: Máxima potencia;;6.8
1639;Speed 2;;4.1
1640;Crash (Colisión);;7.2
1642;La red;;5.6
1645;Tiempo de matar;;7.0
1646;Diarios de la calle;0;7.5
1648;Las alucinantes aventuras de Bill y Ted;;6.7
1649;El alucinante viaje de Bill y Ted;;5.9
1651;La sirena del Mississippi;;6.7
1656;La leyenda del Zorro;0;5.9
1667;El viaje del emperador;;6.9
1669;La caza del Octubre Rojo;;7.2
1677;Ray;;
1683;La cosecha;0;5.4
1685;Regreso al planeta de los simios;;6.2
1687;Huida del planeta de los simios;;6.3
1688;La rebelión de los simios;;6.1
1690;Hostel;;5.7
1691;Hostel 2;;5.6
1696;Los renegados del diablo;;6.6
1698;Anatomía;;6.1
1701;Con Air (Convictos en el aire);;
1705;La conquista del planeta de los simios;;5.5
1710;Copycat;;6.4
1717;Todos los hombres del rey;;5.7
1722;La mandolina del capitán Corelli;;5.5
1724;El increíble Hulk;1;6.1
1725;West Side Story (Amor sin barreras);1;7.0
1726;Iron Man;0;7.4
1729;El reino prohibido;1;6.3
1734;The Mummy Returns (El regreso de la momia);1;6.0
1735;La momia: La tumba del emperador Dragón;0;5.2
1770;Michael Collins;;6.7
1771;Capitán América: El primer vengador;1;
1777;Fahrenheit 9/11;;6.8
1779;Roger y yo;;7.4
1781;Una verdad incómoda;;6.7
1788;Footloose;;6.4
1792;Pegado a ti;;
1808;Velvet Goldmine;;6.9
1809;Las reglas del juego;;6.3
1813;Pactar con el diablo;;7.2
1817;Última llamada;;6.7
1819;Tú, yo y ahora... Dupree;;5.4
1824;50 primeras citas;;6.6
1830;El señor de la guerra;;7.0
1831;Algo casi perfecto;;4.3
1832;Dogma;;6.8
1833;Rent;;6.7
1844;La trampa;;6.0
1850;Man on the Moon;;
1852;World Trade Center;;5.9
1858;Transformers;1;6.6
1865;Piratas del Caribe: En mareas misteriosas;1;6.4
1874;Adios Bafana;;7.0
1878;Miedo y asco en Las Vegas;;7.2
1880;Amanecer rojo;;6.4
1883;Malcolm X;;7.2
1885;Karate Kid, el momento de la verdad;1;6.9
1887;María Antonieta;;6.5
1891;La guerra de las galaxias. Episodio V: El imperio contraataca;1;8.2
1892;La guerra de las galaxias. Episodio VI: El retorno del Jedi;1;7.9
